City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,la'ie,21.6477,-157.9253,23.98,82,29,3.45,US,2024-01-30 23:59:21-05:00
348,castillos,-34.1667,-53.8333,16.69,93,1,2.42,UY,2024-01-30 23:59:21-05:00
349,rabo de peixe,37.8,-25.5833,12.73,88,20,3.09,PT,2024-01-30 23:59:22-05:00
350,kristiansund,63.1115,7.732,8.36,49,100,5.66,NO,2024-01-30 23:59:23-05:00
351,guerrero negro,27.9769,-114.0611,17.72,67,0,3.82,MX,2024-01-30 23:59:23-05:00
352,nuuk,64.1835,-51.7216,-9.51,85,100,16.09,GL,2024-01-30 23:59:23-05:00
353,mazatlan,23.2167,-106.4167,24.39,70,57,0.45,MX,2024-01-30 23:59:24-05:00
354,kedougou,12.5579,-12.1743,23.63,16,100,1.4,SN,2024-01-30 23:59:24-05:00
355,laascaanood,8.4774,47.3597,20.07,70,60,5.31,SO,2024-01-30 23:59:25-05:00
356,maceio,-9.6658,-35.7353,23.69,100,20,1.54,BR,2024-01-30 23:59:25-05:00
357,mount pearl,47.5166,-52.7813,-5.08,84,100,7.2,CA,2024-01-30 23:59:26-05:00
358,mercedes,-34.6515,-59.4307,23.81,48,32,3.56,AR,2024-01-30 23:59:26-05:00
359,la passe,45.5549,-0.8967,7.13,91,92,2.17,FR,2024-01-30 23:59:27-05:00
360,dunedin,-45.8742,170.5036,17.67,84,80,1.34,NZ,2024-01-30 23:54:57-05:00
361,xilin hot,43.9667,116.0333,-20.88,78,12,0.77,CN,2024-01-30 23:59:28-05:00
362,nabire,-3.3667,135.4833,30.49,67,83,3.07,ID,2024-01-30 23:59:28-05:00
363,nova sintra,14.8667,-24.7167,20.77,60,0,5.56,CV,2024-01-30 23:59:29-05:00
364,linhares,-19.3911,-40.0722,23.51,97,100,2.03,BR,2024-01-30 23:59:29-05:00
365,yola,9.2,12.4833,20.79,25,44,0.92,NG,2024-01-30 23:59:30-05:00
366,hasaki,35.7333,140.8333,13.22,46,23,5.54,JP,2024-01-30 23:59:30-05:00
